cohort,estimate,se,states
2004,0.018640070264182584,0.029005761154614826,6
2009,0.07523885569617578,0.04879684352965673,34
2014,-0.03263151610350952,0.0788242430205164,44
2018,-0.045805355804105226,0.040963416790368,36
2020,0.042971142911412484,0.05601697049640815,"11, 53"
2021,0.06362835206887174,0.053324491991163,25
2022,-0.12661647617706998,0.09262982025755523,9
2023,-0.047683901757484715,0.10385392588227144,41
2024,-0.05518811653360933,0.10037044402769527,8
