cohort,estimate,se,states
2005,-0.005339581675303208,0.04520077237384083,6
2010,-0.009360053390052733,0.07618442912444745,34
2014,0.15648497237603046,0.10694859513651195,44
2018,-0.07928315101224662,0.07554742146439498,36
2020,0.061406964733424836,0.09607831101819127,53
2021,-0.07054656124141094,0.09145257904203392,"11, 25"
2022,0.15533820825691058,0.19174434718712174,9
2024,-0.02489108799353057,0.13099410833704633,"41, 8"
