k,estimate,se
-3,-0.00015985764593852666,0.008773590631715206
-2,-0.0010433239358519752,0.01108435087540984
-1,0.0,0.0
0,-0.0029027279797852945,0.009111118050140895
1,-0.010169947498089981,0.01244421959473125
2,-0.004689377156596214,0.013172059335585127
3,-0.0004352562966934847,0.013629823756751551
