spec,group,share,pre-mean (treated),ATT (se),pre e=-5..-1
Mothers of under-6s: worked last year,All,1.0,,0.021 (0.014),
Mothers of under-6s: worked last year,Education: HS or less,0.4179828398702401,0.5254718905653427,0.010 (0.021),0.00219946456519548
Mothers of under-6s: worked last year,Education: some college,0.28825534327829117,0.6669680137762205,0.033 (0.026),0.0004354889339945794
Mothers of under-6s: worked last year,Education: BA or more,0.29376181685146874,0.7437668038539692,0.022 (0.020),0.00444721679352996
Mothers of under-6s: worked last year,Other family income: bottom tercile,0.28912529912581375,0.6795645776929887,0.039 (0.028),0.0010989681116377798
Mothers of under-6s: worked last year,Other family income: middle,0.3813623963794679,0.6036512126291939,0.003 (0.025),0.00744223716385452
Mothers of under-6s: worked last year,Other family income: top tercile,0.3295123044947183,0.6619416683581962,0.021 (0.021),0.0029484673744338413
Mothers of under-6s: worked last year,Married,0.7158744771764726,0.6308433677692771,0.020 (0.017),0.00444005820566864
Mothers of under-6s: worked last year,Not married,0.28412552282352743,0.691524541893834,0.017 (0.026),0.005108393606865439
Mothers of under-6s: worked last year,"White, non-Hispanic",0.5966094911365514,0.6842105940541282,0.054*** (0.019),0.0014900741703145197
Mothers of under-6s: worked last year,Black,0.13431550240791507,0.6900572294032082,-0.003 (0.048),-0.01196101835800056
Mothers of under-6s: worked last year,Hispanic,0.1956462728921552,0.57558849471782,-0.006 (0.025),0.00770514351553252
Mothers of under-6s: worked last year,Other race,0.07342873356337841,0.6380624949280493,-0.002 (0.039),0.01298240763783506
Mothers of under-6s: usual weekly hours,All,1.0,,0.532 (0.569),
Mothers of under-6s: usual weekly hours,Education: HS or less,0.4179828398702401,18.443106377335475,0.098 (0.843),0.06698965944463445
Mothers of under-6s: usual weekly hours,Education: some college,0.28825534327829117,23.379886477181625,0.066 (1.005),0.012044907772290924
Mothers of under-6s: usual weekly hours,Education: BA or more,0.29376181685146874,27.296663343826232,1.225 (0.864),0.3106388318683407
Mothers of under-6s: usual weekly hours,Other family income: bottom tercile,0.28912529912581375,24.802976001498244,0.973 (1.165),0.049628900996899185
Mothers of under-6s: usual weekly hours,Other family income: middle,0.3813623963794679,21.452248974732054,-0.028 (1.013),0.23349602072403405
Mothers of under-6s: usual weekly hours,Other family income: top tercile,0.3295123044947183,23.53256187237035,0.447 (0.867),0.22686837348312067
Mothers of under-6s: usual weekly hours,Married,0.7158744771764726,22.51345786591394,0.614 (0.705),0.2385025085061423
Mothers of under-6s: usual weekly hours,Not married,0.28412552282352743,24.95538178847534,0.018 (1.045),0.11415678618811362
Mothers of under-6s: usual weekly hours,"White, non-Hispanic",0.5966094911365514,24.050001318632685,2.231*** (0.801),0.06127718148675791
Mothers of under-6s: usual weekly hours,Black,0.13431550240791507,25.650136942753008,-0.560 (1.967),-0.2092243697764547
Mothers of under-6s: usual weekly hours,Hispanic,0.1956462728921552,20.787768908674146,-0.493 (0.982),0.2921477794494673
Mothers of under-6s: usual weekly hours,Other race,0.07342873356337841,23.22331536562214,0.057 (1.563),0.42143143089390483
All women 18-44: birth last year,All,1.0,,-0.002 (0.004),
All women 18-44: birth last year,Education: HS or less,0.39377069664713804,0.05267728405819919,-0.002 (0.006),-0.0013770185399522201
All women 18-44: birth last year,Education: some college,0.3229743526747583,0.04416611311296273,-0.002 (0.006),0.0008494387806278201
All women 18-44: birth last year,Education: BA or more,0.2832549506781035,0.05685961338231863,-0.002 (0.006),0.0022239800438691405
All women 18-44: birth last year,Other family income: bottom tercile,0.3333143839660381,0.03457382725583181,0.005 (0.006),-0.0007652629938040599
All women 18-44: birth last year,Other family income: middle,0.33333216157391193,0.06390076770516682,-0.010 (0.007),0.0008445100404494601
All women 18-44: birth last year,Other family income: top tercile,0.3333534544600498,0.05651895658552431,-0.002 (0.006),0.00121231027604894
All women 18-44: birth last year,Married,0.4847355141563657,0.0898421567654097,-0.008 (0.006),0.00227543395489536
All women 18-44: birth last year,Not married,0.5152644858436342,0.0198573599670819,0.004 (0.003),-0.0010741163748973002
All women 18-44: birth last year,"White, non-Hispanic",0.6196925881108819,0.04929099514228743,-0.000 (0.005),8.090782440993999e-05
All women 18-44: birth last year,Black,0.13730734183492346,0.0367856337867379,0.005 (0.010),-0.00035050244592723994
All women 18-44: birth last year,Hispanic,0.1654971690807116,0.059116522350867534,0.014* (0.007),0.0015337790945698405
All women 18-44: birth last year,Other race,0.07750290097348296,0.05727209906509477,-0.006 (0.011),0.00285561714666522
