k,LATE_P(weeks>=k),se
1,-0.13075575925745397,0.02859652308327281
2,-0.12679943746883282,0.028606888668247454
3,-0.1305321856364685,0.02861405853641223
4,-0.13159025263632884,0.028614951174724054
5,-0.1351661209411077,0.028606747492560765
6,-0.1354516327377837,0.028603620006270442
7,-0.1341947030521169,0.028588031979713973
8,-0.13328119284932427,0.028584804331520802
9,-0.12034298290174661,0.028548879934612026
10,-0.12134060449349704,0.028537708495654734
11,-0.11549334302569036,0.028506060530115212
12,-0.11648978602724469,0.028498587881832814
13,-0.12478883452897094,0.028362006526627497
14,-0.118042949107803,0.028341078086694817
15,-0.11606539307848607,0.028306114279568546
16,-0.12158199936729375,0.028265902763682686
17,-0.12244660691095532,0.02811841628919519
18,-0.12610407345263752,0.028090349928915747
19,-0.12381233250846435,0.028044305651440834
20,-0.119671973044575,0.02803361660010572
21,-0.11115980592973074,0.027800583264615614
22,-0.10904645217198095,0.027782368652089405
23,-0.11023899650928115,0.027734564323971537
24,-0.10738943495655917,0.02772006078079777
25,-0.1069617744431639,0.027579145254695035
26,-0.10437751098334047,0.02747544518841595
27,-0.10561416243803023,0.027286822040049778
28,-0.10539528485310257,0.02726849829927021
29,-0.11333521005394687,0.02715282457088373
30,-0.11668736883825659,0.027137986647216172
31,-0.11783685617749029,0.026890786912792234
32,-0.11945318967232765,0.02687605495720096
33,-0.12452756029983902,0.026690058952692716
34,-0.12077904852085908,0.02666938971545576
35,-0.12311019523343703,0.026621141695970126
36,-0.11827060395444278,0.026528701464898073
37,-0.11271486468345415,0.026152169492170342
38,-0.11168437552277055,0.026108302260466145
39,-0.10831960823077225,0.026000926331477162
40,-0.10855221561740791,0.02594327600278255
41,-0.08079514665266174,0.025169643335984683
42,-0.08191447030881704,0.025134958147405198
43,-0.0858337104030511,0.024968852003661047
44,-0.08238611600097556,0.0249259364304253
45,-0.09059836544415134,0.02474061292151183
46,-0.0965808328665787,0.02455654693898749
47,-0.09870055684189083,0.024398970066687273
48,-0.09455864626670518,0.024319451734527302
49,-0.10238728736941027,0.023824409486024205
50,-0.09268211799050619,0.023654963316027632
51,-0.07664384928344248,0.02260336287310793
52,-0.07146080136777755,0.022315666051240905
