panel,group,N,mean(y),first stage,reduced form,LATE (se)
1980 married: worked,All,254654,0.528,0.068 (0.002),-0.0089,-0.131*** (0.029)
1980 married: worked,White (non-Hispanic),216033,0.518,0.070 (0.002),-0.0085,-0.122*** (0.030)
1980 married: worked,Black,13156,0.71,0.051 (0.009),-0.0092,-0.178 (0.152)
1980 married: worked,Hispanic,18897,0.506,0.057 (0.007),-0.0125,-0.217* (0.126)
1980 married: worked,Other race,14348,0.533,0.060 (0.008),-0.0113,-0.187 (0.136)
1980 married: worked,Age 21-27,53765,0.476,0.056 (0.004),-0.0055,-0.099 (0.076)
1980 married: worked,Age 28-31,87779,0.516,0.066 (0.003),-0.0115,-0.174*** (0.051)
1980 married: worked,Age 32-35,113110,0.563,0.076 (0.003),-0.0086,-0.113*** (0.038)
1980 married: weeks,All,254654,19.018,0.068 (0.002),-0.3967,-5.814*** (1.243)
1980 married: weeks,White (non-Hispanic),216033,18.406,0.070 (0.002),-0.4047,-5.772*** (1.310)
1980 married: weeks,Black,13156,29.068,0.051 (0.009),-0.0959,-1.865 (7.438)
1980 married: weeks,Hispanic,18897,18.219,0.057 (0.007),-0.4811,-8.379 (5.390)
1980 married: weeks,Other race,14348,19.761,0.060 (0.008),-0.3467,-5.732 (6.000)
1980 married: weeks,Age 21-27,53765,15.285,0.056 (0.004),-0.1353,-2.425 (3.083)
1980 married: weeks,Age 28-31,87779,18.53,0.066 (0.003),-0.4726,-7.200*** (2.199)
1980 married: weeks,Age 32-35,113110,21.172,0.076 (0.003),-0.4645,-6.107*** (1.728)
1980 B/H: worked,All Black/Hispanic,31857,0.59,0.057 (0.005),-0.0108,-0.188** (0.092)
1980 B/H: worked,Education < 12,11986,0.466,0.053 (0.008),-0.0029,-0.055 (0.169)
1980 B/H: worked,Education = 12,12552,0.623,0.063 (0.008),-0.0273,-0.432*** (0.137)
1980 B/H: worked,Education > 12,7319,0.735,0.054 (0.011),0.0018,0.033 (0.188)
1980 B/H: worked,First birth at <= 19,14882,0.602,0.057 (0.008),-0.0086,-0.151 (0.136)
1980 B/H: worked,First birth at 20-22,10686,0.587,0.053 (0.009),-0.0218,-0.408** (0.176)
1980 B/H: worked,First birth at >= 23,6289,0.565,0.067 (0.012),0.003,0.045 (0.183)
1980 B/H: worked,Other income: bottom tercile,10619,0.553,0.047 (0.009),-0.0056,-0.120 (0.201)
1980 B/H: worked,Other income: middle tercile,10620,0.622,0.058 (0.009),-0.0153,-0.263* (0.156)
1980 B/H: worked,Other income: top tercile,10618,0.594,0.068 (0.009),-0.0122,-0.180 (0.135)
1980 B/H: hours,All Black/Hispanic,31857,21.22,0.057 (0.005),-0.3341,-5.825 (3.674)
1980 B/H: hours,Education < 12,11986,17.049,0.053 (0.008),0.0124,0.234 (6.748)
1980 B/H: hours,Education = 12,12552,22.254,0.063 (0.008),-1.067,-16.888*** (5.433)
1980 B/H: hours,Education > 12,7319,26.278,0.054 (0.011),0.2569,4.773 (7.857)
1980 B/H: hours,First birth at <= 19,14882,21.883,0.057 (0.008),-0.324,-5.686 (5.445)
1980 B/H: hours,First birth at 20-22,10686,20.964,0.053 (0.009),-0.5698,-10.690 (6.831)
1980 B/H: hours,First birth at >= 23,6289,20.085,0.067 (0.012),0.0565,0.847 (7.141)
1980 B/H: hours,Other income: bottom tercile,10619,20.164,0.047 (0.009),-0.1635,-3.509 (8.015)
1980 B/H: hours,Other income: middle tercile,10620,22.537,0.058 (0.009),-0.7025,-12.042* (6.261)
1980 B/H: hours,Other income: top tercile,10618,20.959,0.068 (0.009),-0.1752,-2.591 (5.341)
