year,estimate,se
2004,-0.29862404121129416,1.496321052913981
2005,-0.7418310062419914,1.5209383885054797
2006,-2.7239292084378204,1.4627578092890656
2007,-1.7303013081388414,1.480318610906277
2008,0.17260726257115522,1.5719011298129464
2009,0.03806269423755334,1.387519279035594
2010,0.3479018070751695,1.4003942083527567
2011,0.3658317516574957,1.364324645642947
2012,-0.20159330668145106,1.5289956158241342
2013,-0.3562988375278749,1.6003307454572624
2014,1.3300591807983815,1.4399926933883915
2015,-2.1983005371551507,1.601430955231507
2016,1.7327476863312923,1.474317269376002
2017,-1.2983771732034262,1.5579182618358263
2018,-0.1586635347374225,1.336757865249018
2019,1.3830339034755477,1.4213891999057051
2020,-0.3578032802434089,1.4256847090882216
2021,-0.5198948185598498,1.3649629177099765
2022,0.0853936625747599,1.4487184537398463
2023,1.3991659959227092,1.3977767841252648
2024,0.8458171184747231,1.4366871814235234
