e,estimate,se
-10,0.031218950400145978,1.0529659468445713
-9,-1.4937768023108502,1.087221659170826
-8,-0.6630460050662088,1.1226277425145654
-7,1.7530618290715436,1.040975881292185
-6,-1.5433425041419018,0.9531935363141281
-5,1.4077513207274497,1.0989151099164285
-4,-0.3070612465751758,1.0286317484116845
-3,0.49142762896593617,0.975679776874789
-2,0.8554829702252545,0.9757981089579054
-1,-0.8944065140017611,1.0023275233131672
0,-0.19508960840932932,0.8994378566592335
1,0.4521731149641135,0.923904938230237
2,0.24135139417482696,0.9989227149593978
3,1.0907789173353877,0.9501522845670508
4,0.5546032650373444,1.1974426079590637
5,-0.16486627393961206,1.428672801903109
6,1.1675461567321783,1.162469311059858
7,1.1157345844483584,1.4033511230146702
8,3.1231150744898404,1.4945629530907898
9,3.3179747231316994,1.4968591909552276
10,3.05120590546398,1.413974046816007
