cohort,estimate,se,states
2018,0.07197381183166611,0.02450990026809293,36
2020,-0.05079646720779081,0.057089983311071894,53
2021,0.004629122726798088,0.05386476329436198,"11, 25"
2022,0.005198827177737536,0.03313162231903303,9
2024,0.11710447324485748,0.12739166084155976,"41, 8"
