g,t,ATT
2004,1990,-0.1348799204238773
2004,1991,0.2863252950020474
2004,1992,0.6997785725050676
2004,1993,0.7767157265975584
2004,1994,0.9454485466782359
2004,1995,-5.048052423081156
2004,1996,1.3206759354943642
2004,1997,1.2940343058947192
2004,1998,-0.4447109644706906
2004,1999,-0.437905089325902
2004,2000,0.7596688351976084
2004,2001,0.1150908652677991
2004,2002,-0.04035358117064547
2004,2003,0.17467230678817103
2004,2004,-3.978328208601983
2004,2005,0.3541612857245404
2004,2006,-0.48624996090300954
2004,2007,-0.5447232158924784
2004,2008,-0.187925503208195
2004,2009,-0.9316379939341104
2004,2010,-0.20499986350641208
2004,2011,-1.0398266698561187
2004,2012,1.4793817596183843
2004,2013,0.4497790793325258
2004,2014,-0.2686016471778352
2004,2015,-2.6295965629069222
2004,2016,1.0245796523050394
2004,2017,-0.5821906396775631
2004,2018,0.9340550727799304
2004,2019,-0.8791043166949528
2004,2020,-1.4331113147796906
2004,2021,-1.0707682207954896
2004,2022,2.9449507369414327
2004,2023,3.036540505701364
2004,2024,0.6293046862113201
2009,1990,0.2033250645307092
2009,1991,-1.7421872229948434
2009,1992,0.27643866583981946
2009,1993,1.6315104363805126
2009,1994,-1.0936942972984198
2009,1995,2.356430158861862
2009,1996,-3.105966067520889
2009,1997,1.7374184618621484
2009,1998,-1.8084417880331216
2009,1999,0.07010627555649762
2009,2000,1.8627044805808843
2009,2001,1.7720679708145504
2009,2002,0.09288850269032167
2009,2003,-2.494935471178877
2009,2004,0.5868745184971758
2009,2005,-0.23863967420436083
2009,2006,1.0497283788240743
2009,2007,0.3316376214791603
2009,2008,-3.1605868257965284
2009,2009,2.600774637663619
2009,2010,0.3556300097802385
2009,2011,4.262966108536002
2009,2012,6.2493686070103465
2009,2013,1.8137286560187462
2009,2014,1.6365403104782992
2009,2015,3.271176132277837
2009,2016,7.162287268321677
2009,2017,2.7727692056687125
2009,2018,1.214020057002564
2009,2019,6.1807894042600395
2009,2020,3.8758558485165473
2009,2021,7.469920272388805
2009,2022,4.414696113400073
2009,2023,8.818566385486022
2009,2024,8.232718337762162
2014,1990,2.869391093142589
2014,1991,-1.5906427411395079
2014,1992,-5.871200726941028
2014,1993,10.82390389195343
2014,1994,4.6542440236236295
2014,1995,-5.32530465117793
2014,1996,4.628006128743198
2014,1997,-6.195776286759784
2014,1998,-0.5788654612135495
2014,1999,5.769008005325091
2014,2000,-3.2042430110323608
2014,2001,-0.9098792459443814
2014,2002,3.712413392427873
2014,2003,-0.9506827620762941
2014,2004,-4.187345336485347
2014,2005,1.6479041160193333
2014,2006,0.7259105813514246
2014,2007,0.5361598916679817
2014,2008,1.5652257369915503
2014,2009,-0.28264834544155093
2014,2010,-1.910882995366702
2014,2011,0.08500025210283368
2014,2012,-2.1617735389698183
2014,2013,6.944538179630868
2014,2014,-0.729360040626247
2014,2015,-5.39307634885915
2014,2016,-8.158868820939261
2014,2017,-3.843961317656948
2014,2018,-1.6040504881864948
2014,2019,-3.134650744985457
2014,2020,-5.268262769847915
2014,2021,-5.402939266422287
2014,2022,2.630251970159776
2014,2023,-3.066638794534093
2014,2024,-5.921823113848802
2018,1990,-2.0740081327777276
2018,1991,0.7793886532062118
2018,1992,1.718965108479388
2018,1993,-0.25449210116577703
2018,1994,-2.073659349908361
2018,1995,0.3945945023302926
2018,1996,-2.442588091141216
2018,1997,5.211810882810957
2018,1998,2.117334230952064
2018,1999,-2.0023416573859905
2018,2000,0.5981575492336937
2018,2001,1.447522273510078
2018,2002,-1.3350189127197183
2018,2003,-0.6886316547753815
2018,2004,1.5267389907277185
2018,2005,1.4539667041559028
2018,2006,-1.0777369105508257
2018,2007,-1.972084205659641
2018,2008,3.1218909269817487
2018,2009,-1.287094124483648
2018,2010,-1.5161256088338888
2018,2011,2.3064464943311123
2018,2012,-1.978713281724776
2018,2013,1.6767133617340129
2018,2014,2.198705875828626
2018,2015,-2.0956918372548117
2018,2016,1.4962631374581363
2018,2017,1.5936026012149753
2018,2018,-0.34800325906287455
2018,2019,-3.163398464894186
2018,2020,-1.2451597373801242
2018,2021,-2.887515989728044
2018,2022,0.2380014932878467
2018,2023,-3.500990278589768
2018,2024,-2.5855449755523914
2020,1990,-0.09025895463930311
2020,1991,-4.971559884614631
2020,1992,4.366991056148468
2020,1993,-2.165974683759817
2020,1994,-1.2103198837310103
2020,1995,3.356804129898528
2020,1996,-8.132143099573767
2020,1997,7.813113962795089
2020,1998,-3.4164575999774343
2020,1999,-3.964205793602165
2020,2000,4.373173184121413
2020,2001,-1.3474248678626246
2020,2002,3.0178583536623265
2020,2003,-1.6666788122728597
2020,2004,-1.0159640856934828
2020,2005,3.5022008819708184
2020,2006,-2.7099918654052964
2020,2007,1.7726178922773812
2020,2008,-1.243755696193091
2020,2009,4.015133949879676
2020,2010,-2.1808577297147664
2020,2011,1.6218231038487652
2020,2012,-2.0114344369941186
2020,2013,4.323500782999869
2020,2014,-4.295721838987173
2020,2015,0.48461407337569185
2020,2016,-2.040937708449963
2020,2017,1.5150036548751054
2020,2018,0.8200706022810493
2020,2019,-1.3721645780047105
2020,2020,3.6934260167026913
2020,2021,3.4574202639620673
2020,2022,0.9235305730028358
2020,2023,0.24433725769693737
2020,2024,-0.4724274552438139
2021,1990,-0.39208375895056236
2021,1991,-1.1247455524547796
2021,1992,-0.49915808523121896
2021,1993,1.6974205498700492
2021,1994,0.08725188685177443
2021,1995,0.4438203714449962
2021,1996,1.6236641759772823
2021,1997,1.3184080436811385
2021,1998,-3.6665821011488973
2021,1999,0.09692611988418065
2021,2000,-0.9687638097710511
2021,2001,0.0163076274180618
2021,2002,-0.6209617676698684
2021,2003,-0.3945442872612617
2021,2004,2.5928900434293602
2021,2005,-2.5988288862116384
2021,2006,2.277248404069372
2021,2007,0.4490236265371159
2021,2008,1.39368431010692
2021,2009,0.8234870999178554
2021,2010,-0.12687089429961773
2021,2011,5.030371324382735
2021,2012,-3.6331854020818106
2021,2013,0.7696396330027575
2021,2014,-1.9072661422117037
