panel,characteristic,P(X=1),P(X=1 | complier),relative likelihood
1980 married,White (non-Hispanic),0.8483393153062587,0.8735411701930041,1.0297072815464734
1980 married,Black,0.05166225545249633,0.038798332144842164,0.7509995799644752
1980 married,Hispanic,0.07420657048387223,0.06418444478917716,0.8649428799991068
1980 married,Other race,0.05634311654244583,0.05072509940225509,0.9002892015041726
1980 married,First child a boy,0.5143606619177393,0.44111033201230465,0.8575895566501361
1980 married,Age 21-27,0.21112961115867018,0.17094373211326247,0.8096625157178601
1980 married,Age 32-35,0.4441713069498221,0.4988097945723087,1.1230121954470578
1980 Black/Hispanic,Black,0.41297046175094954,0.38118234941520523,0.9230256997050923
1980 Black/Hispanic,Education < 12,0.3762438396584738,0.3642514252772004,0.9681259515314343
1980 Black/Hispanic,Education > 12,0.2297454248673761,0.21093387165490182,0.9181200094699014
1980 Black/Hispanic,First birth at <= 19,0.4671500769061745,0.47949518426682286,1.0264264269041914
1980 Black/Hispanic,Other income: bottom tercile,0.3333333333333333,0.24772326246567297,0.743169787397019
