year,estimate,se
2004,-1.553706955825696,1.112475066095578
2005,0.033486122293236775,1.0269732791679758
2006,-1.1110088786481214,1.0700268405677673
2007,-0.5441449389468005,1.1129220184498292
2008,0.5456870929514572,1.0771062852154956
2009,0.5744797343819441,1.0076153701866548
2010,0.6430034941580026,0.9288658488738963
2011,0.522313204844266,1.0061719244624963
2012,1.6782823004460465,1.0575411119347498
2013,0.43411251856426736,1.1357964140334793
2014,0.8130086234012309,1.119328238718558
2015,-0.7240614689199274,1.022731547992403
2016,2.4808940103548753,0.9825067709155618
2017,-0.2325826038929454,1.0867764585361521
2018,0.6405677743463992,0.9228059585546969
2019,0.7563665167006057,1.071128458828469
2020,0.07692616808444377,0.9713645384123891
2021,0.057847520572098875,1.047607050839477
2022,1.5871980559680585,1.065625025440478
2023,2.1457392419315995,0.9426959210458412
2024,1.2998691238738533,0.9027346853591137
