cohort,estimate,se,states
2004,0.3698014390470483,0.8648634936775879,6
2009,2.980441647288122,1.4785553092189978,34
2014,-0.6226058381385396,2.528312838729023,44
2018,-0.39023693256310005,1.4429785012380238,36
2020,0.1648786322597715,1.706635717503752,"11, 53"
2021,3.747702714150563,1.8829113320560638,25
2022,-2.2698522380444373,3.030416657737282,9
2023,-2.5996256994429476,2.5731135409227144,41
2024,-0.37481523598738065,2.9755618057437165,8
