cohort,estimate,se,states
2005,-0.0012574927435831213,0.014526056744937448,6
2010,-0.014241481262860303,0.027360969568249793,34
2014,0.00506681025520526,0.03441013422607093,44
2018,0.03390273715184816,0.02060549980242418,36
2020,0.015836119290059885,0.029031674567021503,53
2021,0.033777996974449095,0.027257063699343297,"11, 25"
2022,0.17778817682754444,0.04863310973514861,9
2024,-0.01609232528507204,0.030784012788329845,"41, 8"
