year,estimate,se
2004,1.5319199025053363,1.5068998014721462
2005,2.3009204442553646,1.49675548755729
2006,0.6488708942820125,1.511067155374439
2007,2.3120287160262443,1.5648681627173056
2008,3.8666741939597777,1.458152012630346
2009,3.2065131850681494,1.2188193439506123
2010,3.0878497291651943,1.404222010416085
2011,0.5110321799367843,1.449296708485092
2012,3.5357707332973827,1.4204160319489871
2013,1.7350276201239638,1.5825144722699
2014,2.2158530420865588,1.4007339164488306
2015,0.08521031359284532,1.3617021806438692
2016,4.7479769232110955,1.3270606339254671
2017,1.887131828363605,1.4068183932757237
2018,1.703071764077196,1.1639291389715516
2019,1.9844453543144611,1.330099225242354
2020,1.1692826795735198,1.1449004856132625
2021,1.701640764408822,1.0831625142883898
2022,2.8199522653622164,1.2817752374571736
2023,2.924467095751471,1.0464082137169703
2024,2.5865054800436282,1.0484603779707353
