county,state_fips,event_ym,mw_before,mw_first,mw_end,pct_first,pct_window,n_steps,controls,n_controls,event_id,federal_induced
6075,6,2015-05,11.05,12.25,15.0,0.10859728506787314,0.35746606334841613,4,1 12 13 16 17 18 19 20 21 22 28 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,27,1001,0
6085,6,2013-04,8.0,10.0,10.5,0.25,0.3125,1,1 12 13 16 17 18 19 20 21 22 28 29 30 33 35 37 38 39 40 42 45 47 48 49 50 51 55 56,28,1002,0
6085,6,2017-07,10.5,12.0,15.45,0.1428571428571428,0.4714285714285713,3,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 55 56,23,1003,0
17031,17,2015-07,8.25,10.0,12.0,0.21212121212121215,0.4545454545454546,3,1 12 13 16 18 19 20 21 22 28 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,26,1004,0
19103,19,2015-11,7.25,8.2,7.25,0.1310344827586205,0.0,3,1 12 13 16 17 18 20 21 22 28 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,26,1005,0
19113,19,2017-01,7.25,8.25,7.25,0.13793103448275867,0.0,1,1 12 13 16 18 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56,23,1006,0
19179,19,2017-01,7.25,8.2,7.25,0.1310344827586205,0.0,1,1 12 13 16 18 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56,23,1007,0
21067,21,2016-07,7.25,8.2,7.25,0.1310344827586205,0.0,1,1 12 13 16 18 19 20 22 28 30 32 33 37 38 39 40 42 45 47 48 49 51 55 56,24,1008,0
21111,21,2015-07,7.25,7.75,7.25,0.06896551724137923,0.0,2,1 12 13 16 17 18 19 20 22 28 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,26,1009,0
23005,23,2016-01,7.5,10.1,11.0,0.3466666666666667,0.46666666666666656,2,1 12 13 16 17 18 19 20 21 22 28 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,27,1010,0
24031,24,2014-10,7.25,8.4,12.25,0.1586206896551725,0.6896551724137931,5,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1011,0
24033,24,2014-10,7.25,8.4,11.5,0.1586206896551725,0.5862068965517242,4,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1012,0
27123,27,2020-01,9.86,12.5,15.0,0.2677484787018256,0.5212981744421907,2,1 2 13 16 18 19 20 21 22 26 28 33 37 38 40 42 45 47 48 49 54 55 56,23,1013,0
35001,35,2007-01,5.15,6.75,7.5,0.3106796116504853,0.4563106796116503,2,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,19,1014,0
35001,35,2013-01,7.5,8.5,8.75,0.1333333333333333,0.16666666666666674,1,1 4 8 12 13 16 17 18 19 20 21 22 23 28 29 30 33 37 38 39 40 42 45 47 48 49 50 51 53 55 56,31,1015,0
35013,35,2015-01,7.5,8.4,9.2,0.1200000000000001,0.22666666666666657,2,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 37 38 39 40 42 45 47 48 49 51 55 56,27,1016,0
35049,35,2004-01,5.15,8.5,9.5,0.6504854368932038,0.8446601941747571,2,1 9 13 16 18 20 22 28 31 38 40 45 46 47 48 49 51 53 56,19,1017,0
35049,35,2012-03,9.5,10.29,10.84,0.0831578947368421,0.14105263157894732,1,1 4 8 12 13 16 17 18 19 20 22 23 28 29 33 37 38 39 40 41 42 45 47 48 49 50 51 53 56,29,1018,0
35049,35,2022-03,12.32,12.95,12.95,0.051136363636363535,0.051136363636363535,1,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,22,1019,0
53033,53,2015-04,9.47,11.0,16.0,0.16156282998944027,0.6895459345300949,3,1 12 13 16 17 18 19 20 21 22 28 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,27,1020,0
53033,53,2021-01,15.75,16.69,17.27,0.05968253968253978,0.09650793650793643,1,1 13 16 18 19 20 21 22 26 27 28 33 37 38 40 42 45 47 48 49 54 55 56,23,1021,0
53053,53,2016-02,9.47,10.35,13.5,0.09292502639915501,0.4255543822597676,4,1 12 13 16 18 19 20 21 22 28 30 32 33 37 38 39 40 42 45 47 48 49 51 55 56,25,1022,0
