unit,state_fips,kind,ym,mw,rate,mw_federal,mw_prev,fed_prev,pct,qual,qual_policy,state_qual
1,1,state,1990-01,3.35,0.0,3.35,,,,0,0,0
1,1,state,1990-02,3.35,0.0,3.35,3.35,3.35,0.0,0,0,0
1,1,state,1990-03,3.35,0.0,3.35,3.35,3.35,0.0,0,0,0
1,1,state,1990-04,3.8,0.0,3.8,3.35,3.35,0.13432835820895517,1,0,0
1,1,state,1990-05,3.8,0.0,3.8,3.8,3.8,0.0,0,0,0
1,1,state,1990-06,3.8,0.0,3.8,3.8,3.8,0.0,0,0,0
1,1,state,1990-07,3.8,0.0,3.8,3.8,3.8,0.0,0,0,0
1,1,state,1990-08,3.8,0.0,3.8,3.8,3.8,0.0,0,0,0
1,1,state,1990-09,3.8,0.0,3.8,3.8,3.8,0.0,0,0,0
1,1,state,1990-10,3.8,0.0,3.8,3.8,3.8,0.0,0,0,0
1,1,state,1990-11,3.8,0.0,3.8,3.8,3.8,0.0,0,0,0
1,1,state,1990-12,3.8,0.0,3.8,3.8,3.8,0.0,0,0,0
1,1,state,1991-01,3.8,0.0,3.8,3.8,3.8,0.0,0,0,0
1,1,state,1991-02,3.8,0.0,3.8,3.8,3.8,0.0,0,0,0
1,1,state,1991-03,3.8,0.0,3.8,3.8,3.8,0.0,0,0,0
1,1,state,1991-04,4.25,0.0,4.25,3.8,3.8,0.11842105263157898,1,0,0
1,1,state,1991-05,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1991-06,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1991-07,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1991-08,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1991-09,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1991-10,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1991-11,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1991-12,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-01,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-02,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-03,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-04,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-05,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-06,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-07,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-08,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-09,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-10,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-11,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1992-12,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-01,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-02,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-03,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-04,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-05,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-06,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-07,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-08,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-09,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-10,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-11,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1993-12,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-01,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-02,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-03,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-04,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-05,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-06,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-07,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-08,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-09,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-10,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-11,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1994-12,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1995-01,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1995-02,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1995-03,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1995-04,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1995-05,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1995-06,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1995-07,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
1,1,state,1995-08,4.25,0.0,4.25,4.25,4.25,0.0,0,0,0
