variant,outcome,ages,b,se,n
All months (baseline),enrolled,1617,-0.02101248105753932,0.009508929995528825,602019
All months (baseline),enrolled,1819,-0.013403582675098238,0.0196937641534601,537937
All months (baseline),enrolled,1619,-0.018880255567878233,0.012697405838568255,1139956
All months (baseline),neither,1617,0.021977755336188277,0.006897634618150939,602019
All months (baseline),neither,1819,0.017545369449104026,0.007901673590513015,537937
All months (baseline),neither,1619,0.019940273289299357,0.004530975272301911,1139956
"School months, September--May",enrolled,1617,-0.005952957524771027,0.010164704852771237,451789
"School months, September--May",enrolled,1819,-0.015787676621486897,0.017282164098343454,400101
"School months, September--May",enrolled,1619,-0.01224491568216527,0.010005777675485416,851890
"School months, September--May",neither,1617,0.006383583445040319,0.00826783731966432,451789
"School months, September--May",neither,1819,0.017166446672813845,0.0064606225888867025,400101
"School months, September--May",neither,1619,0.01159374870195446,0.0034543771414901146,851890
"Summer months, June--August",enrolled,1617,-0.06678492413309524,0.028678932864053708,150230
"Summer months, June--August",enrolled,1819,-0.006878772912859748,0.0329812261699994,137836
"Summer months, June--August",enrolled,1619,-0.03928949326872961,0.02818208754796288,288066
"Summer months, June--August",neither,1617,0.06724482849241262,0.017088628010481197,150230
"Summer months, June--August",neither,1819,0.017477077577115575,0.016267717115241637,137836
"Summer months, June--August",neither,1619,0.043398897036434,0.014011940888569033,288066
Raising units only (drop federal-floor states),enrolled,1617,-0.019352481811151557,0.015795441774304232,373240
Raising units only (drop federal-floor states),enrolled,1819,0.03245459180819227,0.026465579083348754,335947
Raising units only (drop federal-floor states),enrolled,1619,0.0032598226476109734,0.015395730429338375,709187
Raising units only (drop federal-floor states),neither,1617,0.014212841964763832,0.011201542820717992,373240
Raising units only (drop federal-floor states),neither,1819,-0.013343134072976104,0.015419479814502784,335947
Raising units only (drop federal-floor states),neither,1619,0.0010150401540506267,0.007644170579474212,709187
"School months, raising units only",enrolled,1617,-0.030401179216463372,0.017286559690225946,280003
"School months, raising units only",enrolled,1819,0.02299227226720364,0.03143758696890998,249600
"School months, raising units only",enrolled,1619,-0.008365648696402774,0.017806585197846225,529603
"School months, raising units only",neither,1617,0.01805846806387504,0.014694522175705143,280003
"School months, raising units only",neither,1819,-0.0045015492815755126,0.016648951050646125,249600
"School months, raising units only",neither,1619,0.007833042137812909,0.009624599981488442,529603
Census region $\times$ month fixed effects,enrolled,1617,-0.021845853424920278,0.012165323971512997,602019
Census region $\times$ month fixed effects,enrolled,1819,0.00032219674592272497,0.021779741827117508,537937
Census region $\times$ month fixed effects,enrolled,1619,-0.012335898324319031,0.014468230869867841,1139956
Census region $\times$ month fixed effects,neither,1617,0.02112090397018752,0.009104733681698493,602019
Census region $\times$ month fixed effects,neither,1819,0.01327213762009474,0.007300657986552633,537937
Census region $\times$ month fixed effects,neither,1619,0.017679886581835152,0.006166140674935227,1139956
2010--2019,enrolled,1617,-0.022535265551832374,0.01588288619369589,420273
2010--2019,enrolled,1819,-0.009528588072701225,0.0347348194620727,376601
2010--2019,enrolled,1619,-0.015959851425963827,0.023682443900621318,796874
2010--2019,neither,1617,0.016659481435614177,0.010475878299457033,420273
2010--2019,neither,1819,-0.0013752958646388912,0.0170573172988675,376601
2010--2019,neither,1619,0.006553492706727739,0.01084602732910204,796874
Drop 2020--2021,enrolled,1617,-0.018618975479465113,0.0088823311069903,537603
Drop 2020--2021,enrolled,1819,-0.01406813024449615,0.019451858750229874,480558
Drop 2020--2021,enrolled,1619,-0.017601307415623584,0.012377424728116293,1018161
Drop 2020--2021,neither,1617,0.020302536960557085,0.006958387941721637,537603
Drop 2020--2021,neither,1819,0.017784010109858372,0.007461831507337858,480558
Drop 2020--2021,neither,1619,0.018990410522527645,0.004634693293743283,1018161
24-month lead of log minimum (coefficient on the lead),enrolled,1617,0.005162513797994045,0.018652496742172352,545891
24-month lead of log minimum (coefficient on the lead),enrolled,1819,-0.01855754883578777,0.036943331007326705,487742
24-month lead of log minimum (coefficient on the lead),enrolled,1619,-0.005826267669902342,0.020777180526549494,1033633
24-month lead of log minimum (coefficient on the lead),neither,1617,-0.013983200502963132,0.012854157114681285,545891
24-month lead of log minimum (coefficient on the lead),neither,1819,0.003015024068326575,0.015453796317928809,487742
24-month lead of log minimum (coefficient on the lead),neither,1619,-0.005314516233180207,0.009812500559561786,1033633
Unit-specific linear trends,enrolled,1617,0.01823376814655054,0.00835114990072977,602019
Unit-specific linear trends,enrolled,1819,0.11736259250130268,0.0326997551801797,537937
Unit-specific linear trends,enrolled,1619,0.06473406764267196,0.018862606741436055,1139956
Unit-specific linear trends,neither,1617,0.0012908762434639402,0.005283143178220157,602019
Unit-specific linear trends,neither,1819,-0.025715213015644976,0.006978791131119131,537937
Unit-specific linear trends,neither,1619,-0.011187000156710217,0.005612088853012675,1139956
