event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
1001,6075,2015-05,11.05,15.0,0.3574660633484161,4,-0.06252002576871096,-0.08029668067003093,0.04857284156837334
1002,6085,2013-04,8.0,10.5,0.3125,1,0.019944082395845913,-0.004234011839700347,0.13038098709943097
1003,6085,2017-07,10.5,15.45,0.4714285714285713,3,0.005060009680794508,-0.011639383645824841,0.10221720454266395
1004,17031,2015-07,8.25,12.0,0.4545454545454546,3,0.05968849369258625,0.05749827554939735,0.18098673098996543
1010,23005,2016-01,7.5,11.0,0.4666666666666665,2,-0.011534559982903175,0.03748860384970076,0.026175798312921876
1011,24031,2014-10,7.25,12.25,0.6896551724137931,5,-0.07322522107057661,,0.023544282413048494
1012,24033,2014-10,7.25,11.5,0.5862068965517242,4,0.061631430171675355,0.004649681464683697,0.09607865407933046
1013,27123,2020-01,9.86,15.0,0.5212981744421907,2,-0.10326125313883025,-0.15653771491240093,0.04214836672049182
1014,35001,2007-01,5.15,7.5,0.4563106796116503,2,0.005683474159306839,-0.039885539338872844,0.06736151350176103
1015,35001,2013-01,7.5,8.75,0.1666666666666667,1,-0.012933275846732845,0.01669582107081219,0.06468767693592554
1016,35013,2015-01,7.5,9.2,0.2266666666666665,2,0.018981903120281807,0.05898516037885898,0.022238681205384837
1017,35049,2004-01,5.15,9.5,0.8446601941747571,2,,,0.0
1018,35049,2012-03,9.5,10.84,0.1410526315789473,1,0.013404817792019574,0.2596729280494149,0.003604460206113236
1019,35049,2022-03,12.32,12.95,0.0511363636363635,1,0.12945071911986766,0.10224426188476593,0.012629265938004721
1020,53033,2015-04,9.47,16.0,0.6895459345300949,3,-0.009216044648825389,-0.007089515204677321,0.09616675774811247
1021,53033,2021-01,15.75,17.27,0.0965079365079364,1,0.04655167922985193,0.02161713562004447,0.06830047966565554
1022,53053,2016-02,9.47,13.5,0.4255543822597676,4,0.09721444066987608,-0.009117640770697766,0.014906299072816204
