event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
1001,6075,2015-05,11.05,15.0,0.3574660633484161,4,0.19092349188302915,0.05311297800716108,0.026383386234606364
1002,6085,2013-04,8.0,10.5,0.3125,1,0.2238832641860099,0.0620671585279402,0.12334940745686437
1003,6085,2017-07,10.5,15.45,0.4714285714285713,3,0.03960628860772142,-0.0681975764023377,0.0685855079320485
1004,17031,2015-07,8.25,12.0,0.4545454545454546,3,0.25194529149943773,0.17720572162448456,0.16335199799017708
1010,23005,2016-01,7.5,11.0,0.4666666666666665,2,0.11431110346688511,-0.2215942942906024,0.06100013438468292
1011,24031,2014-10,7.25,12.25,0.6896551724137931,5,0.07178771667857997,,0.037204821434377366
1012,24033,2014-10,7.25,11.5,0.5862068965517242,4,-0.06903332885513935,-0.1945092078071322,0.13959902295335067
1013,27123,2020-01,9.86,15.0,0.5212981744421907,2,0.1864324028620319,0.25892797428313474,0.020980781656384093
1014,35001,2007-01,5.15,7.5,0.4563106796116503,2,0.36295931100760626,0.3343281955544435,0.06539529105598764
1015,35001,2013-01,7.5,8.75,0.1666666666666667,1,0.07189040325701401,0.14029081133976873,0.08137814574178436
1016,35013,2015-01,7.5,9.2,0.2266666666666665,2,0.06262278577394505,0.20524161430791255,0.017228788641293905
1017,35049,2004-01,5.15,9.5,0.8446601941747571,2,,,0.0
1018,35049,2012-03,9.5,10.84,0.1410526315789473,1,,,0.0
1019,35049,2022-03,12.32,12.95,0.0511363636363635,1,-0.31747346623425426,-0.07225168414660077,0.014058812089012747
1020,53033,2015-04,9.47,16.0,0.6895459345300949,3,0.11831059410966871,-0.07299913301127714,0.12181161979166535
1021,53033,2021-01,15.75,17.27,0.0965079365079364,1,-0.1186425036406017,-0.05691641851807283,0.05967228263776464
1022,53053,2016-02,9.47,13.5,0.4255543822597676,4,,,0.0
