event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
1001,6075,2015-05,11.05,15.0,0.3574660633484161,4,-0.1917199975841369,-0.3768462831747521,0.03945411304574797
1002,6085,2013-04,8.0,10.5,0.3125,1,0.03723621138190136,0.09854469619399775,0.10936954342660211
1003,6085,2017-07,10.5,15.45,0.4714285714285713,3,0.05141985100007973,-0.024294883160456138,0.13352697319367976
1004,17031,2015-07,8.25,12.0,0.4545454545454546,3,-0.023275478426823537,-0.08048160722280917,0.12518491924658498
1010,23005,2016-01,7.5,11.0,0.4666666666666665,2,-0.11336629480700255,-0.2672872175918508,0.02195516552181618
1011,24031,2014-10,7.25,12.25,0.6896551724137931,5,,,0.0
1012,24033,2014-10,7.25,11.5,0.5862068965517242,4,0.11244406928548745,0.0199416897615583,0.050135421220746414
1013,27123,2020-01,9.86,15.0,0.5212981744421907,2,0.3817382043602152,0.39019017644894394,0.0474999160419498
1014,35001,2007-01,5.15,7.5,0.4563106796116503,2,0.102053543560917,0.16150856257639956,0.12606547738381735
1015,35001,2013-01,7.5,8.75,0.1666666666666667,1,-0.01774276715966483,0.0028795353990755945,0.09324079558123026
1016,35013,2015-01,7.5,9.2,0.2266666666666665,2,0.14334775310339132,0.14829421816649657,0.04545247223335369
1017,35049,2004-01,5.15,9.5,0.8446601941747571,2,,,0.0
1018,35049,2012-03,9.5,10.84,0.1410526315789473,1,0.01779899139050493,-0.05518924742150366,0.020370553797354158
1019,35049,2022-03,12.32,12.95,0.0511363636363635,1,0.12161005773077771,0.12054410534592663,0.01548176322691765
1020,53033,2015-04,9.47,16.0,0.6895459345300949,3,0.027319477866202257,-0.10279228565657861,0.1460871618832116
1021,53033,2021-01,15.75,17.27,0.0965079365079364,1,0.5972590384315118,0.43210653307408675,0.013186220838251866
1022,53053,2016-02,9.47,13.5,0.4255543822597676,4,-0.09234533433031411,-0.22651368960504414,0.01298950335873625
