k,estimate,se
-3,0.01149543941023878,0.035981734157733716
-2,-0.02499967706438372,0.044289167348178
-1,0.0,0.0
0,0.0672192201924697,0.04364644630227076
1,0.02261235817583446,0.03974911345032785
2,0.07162384420116308,0.030148765934079027
3,0.09912585182052841,0.03190499600526698
