event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
1001,6075,2015-05,11.05,15.0,0.3574660633484161,4,0.004893182606939585,0.05533212586450258,0.04857284156837334
1002,6085,2013-04,8.0,10.5,0.3125,1,-0.0757409750972331,-0.03031403094096328,0.13038098709943097
1003,6085,2017-07,10.5,15.45,0.4714285714285713,3,-0.05969185227864278,-0.05929911283049093,0.10221720454266395
1004,17031,2015-07,8.25,12.0,0.4545454545454546,3,-0.007957248424788926,-0.013530662093600106,0.18098673098996543
1010,23005,2016-01,7.5,11.0,0.4666666666666665,2,0.014236046052736893,0.10492574903551846,0.026175798312921876
1011,24031,2014-10,7.25,12.25,0.6896551724137931,5,-0.020280069411395388,,0.023544282413048494
1012,24033,2014-10,7.25,11.5,0.5862068965517242,4,-0.06613046598281681,-0.037583736193424956,0.09607865407933046
1013,27123,2020-01,9.86,15.0,0.5212981744421907,2,0.20068581300223243,0.1227937656743941,0.04214836672049182
1014,35001,2007-01,5.15,7.5,0.4563106796116503,2,0.15708665053164997,0.08619210103656774,0.06736151350176103
1015,35001,2013-01,7.5,8.75,0.1666666666666667,1,-0.06486247852536461,-0.061851030836397536,0.06468767693592554
1016,35013,2015-01,7.5,9.2,0.2266666666666665,2,-0.04683572063156133,-0.017146986657938464,0.022238681205384837
1017,35049,2004-01,5.15,9.5,0.8446601941747571,2,,,0.0
1018,35049,2012-03,9.5,10.84,0.1410526315789473,1,-0.0005188624117816801,-0.01652949361044158,0.003604460206113236
1019,35049,2022-03,12.32,12.95,0.0511363636363635,1,0.03087815477053455,-0.009194170280786465,0.012629265938004721
1020,53033,2015-04,9.47,16.0,0.6895459345300949,3,-0.008369653759568076,0.00148576685328633,0.09616675774811247
1021,53033,2021-01,15.75,17.27,0.0965079365079364,1,0.03560888429164262,0.09945531010274716,0.06830047966565554
1022,53053,2016-02,9.47,13.5,0.4255543822597676,4,0.18865547997172943,0.08281390651117307,0.014906299072816204
