event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
1001,6075,2015-05,11.05,15.0,0.3574660633484161,4,0.014137449772894457,0.002201304761132873,0.051028748652232725
1002,6085,2013-04,8.0,10.5,0.3125,1,0.0031967445709374376,-0.019308091226010637,0.08878750157362607
1003,6085,2017-07,10.5,15.45,0.4714285714285713,3,-0.0017954561593739038,0.03810397134900827,0.10903657822516857
1004,17031,2015-07,8.25,12.0,0.4545454545454546,3,-0.06457035764140165,-0.035280398974345595,0.2223368445423392
1010,23005,2016-01,7.5,11.0,0.4666666666666665,2,0.11468692458162345,-0.033235059308651234,0.01874939279333868
1011,24031,2014-10,7.25,12.25,0.6896551724137931,5,-0.08125812915932516,,0.011357973522611834
1012,24033,2014-10,7.25,11.5,0.5862068965517242,4,-0.08708619532674655,-0.1111257380124113,0.08419736417224595
1013,27123,2020-01,9.86,15.0,0.5212981744421907,2,0.023051990447086952,0.004845631767735392,0.036878428468245655
1014,35001,2007-01,5.15,7.5,0.4563106796116503,2,0.05104862596442447,0.020126638024442603,0.059349757319873776
1015,35001,2013-01,7.5,8.75,0.1666666666666667,1,-0.009695097355364689,0.020156536430524577,0.08284714043843652
1016,35013,2015-01,7.5,9.2,0.2266666666666665,2,0.04149321347456284,-0.057575304332996284,0.02974087595722085
1017,35049,2004-01,5.15,9.5,0.8446601941747571,2,,,0.0
1018,35049,2012-03,9.5,10.84,0.1410526315789473,1,0.20130530253134243,-0.07594025174212098,0.00862235214969841
1019,35049,2022-03,12.32,12.95,0.0511363636363635,1,-0.16502477290873743,-0.17408952363642177,0.008390230582666122
1020,53033,2015-04,9.47,16.0,0.6895459345300949,3,-0.002670348542740411,-0.008860735675723048,0.11259598848592543
1021,53033,2021-01,15.75,17.27,0.0965079365079364,1,-0.07966318962920686,-0.10155766672596833,0.061544072562262464
1022,53053,2016-02,9.47,13.5,0.4255543822597676,4,-0.11893854366262188,-0.37997005808936934,0.014536750554107617
