k,estimate,se
-3,-0.01427059321924118,0.008164061744998204
-2,-0.011425090137748431,0.008007563701357556
-1,0.0,0.0
0,-0.009960032923855867,0.00907936135975063
1,-0.010500830190536482,0.006663411892088203
2,-0.007589320030778541,0.007292507397822449
3,-0.011043973982189224,0.008402302884724829
