event_id,state,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
3,Alaska,2010-01,7.25,7.75,0.0689655172413792,1,-0.03712301742060706,-0.024843266001012526,0.003807036100032756
4,Alaska,2015-01,7.75,9.84,0.2696774193548388,2,-0.04207550037083113,0.012909032439259671,0.0033211716239151443
5,Alaska,2024-01,10.85,13.0,0.1981566820276499,2,0.04139095857570977,-0.02584834387648092,0.003563886885286064
7,Arizona,2017-01,8.05,12.0,0.4906832298136645,3,-0.02660253456251765,-0.017785957999074634,0.032001872087557365
9,Arkansas,2016-01,7.5,9.25,0.2333333333333334,3,-0.015404167860698911,0.012162447961250128,0.014826974920946942
12,California,2014-07,8.0,11.0,0.375,3,-0.00324600050691563,0.0018820428723437775,0.17306983022150246
14,Colorado,2017-01,8.31,12.0,0.4440433212996388,4,-0.0007498397931510054,-0.00023917560977293473,0.02143158797684658
16,Connecticut,2014-01,8.25,10.1,0.2242424242424241,3,0.005114562967002627,0.0013252937539383197,0.018472857303002424
19,Delaware,2014-06,7.25,8.25,0.1379310344827586,2,0.00099766261439347,-0.03117346247501003,0.00430357563763451
20,Delaware,2019-01,8.25,10.5,0.2727272727272727,3,0.032970118872354376,0.01167967317450426,0.0032781237921350147
23,District of Columbia,2014-07,8.25,12.5,0.5151515151515151,4,0.0071266747359505535,0.0010340287086559718,0.0019482621391630538
25,Florida,2021-10,8.56,13.0,0.5186915887850467,4,0.0052251000592560964,0.02067250190789293,0.07792889187991588
27,Hawaii,2015-01,7.25,10.1,0.3931034482758619,4,0.0034411965951448055,-0.02184149652717776,0.0065568496272466
28,Hawaii,2022-10,10.1,14.0,0.3861386138613862,2,0.004076033471802058,0.008094954042102823,0.006222320879098886
30,Illinois,2020-01,8.25,13.0,0.5757575757575757,5,-0.0372433715577559,-0.04401019511687772,0.060489512266805344
36,Maine,2017-01,7.5,12.0,0.6000000000000001,4,-0.03863550174197536,-0.07330111606439568,0.0054384648320853195
38,Maryland,2015-01,7.25,10.1,0.3931034482758619,4,0.01472488666681981,0.03152804494739202,0.02578816439209322
41,Massachusetts,2015-01,8.0,11.0,0.375,3,-0.030236027130543325,-0.03529074665299606,0.032523848054433646
43,Michigan,2014-09,7.4,9.25,0.25,1,-0.008739919323825805,-0.01673882129941931,0.04193896269551311
44,Michigan,2025-03,10.56,12.48,0.1818181818181818,1,0.023397166050447796,0.041491473514395624,0.040738274947312754
46,Minnesota,2014-08,7.25,9.65,0.3310344827586207,3,0.05114944256187308,0.005780607933425053,0.024302704173087167
48,Missouri,2019-01,7.85,11.15,0.4203821656050956,4,0.005466442475381299,0.022679865734486257,0.028941721342786886
51,Montana,2022-01,8.75,10.55,0.2057142857142857,2,-0.059891118366952774,-0.07146611431554874,0.004231122577317316
52,Nebraska,2015-01,7.25,9.0,0.2413793103448276,2,-0.0035218482227051956,0.010754764736297676,0.008638481248011023
53,Nebraska,2023-01,9.0,13.5,0.5,3,0.012337671071892507,-0.07626925691445355,0.009242079644768947
55,Nevada,2020-07,8.25,11.25,0.3636363636363635,4,-0.014491696666108903,0.010075354770568215,0.01164058192330001
57,New Jersey,2014-01,7.25,8.44,0.1641379310344826,1,0.0002786996161731996,0.0346547215339352,0.04303853990198802
58,New Jersey,2019-07,8.85,14.0,0.5819209039548023,5,-0.006844714629260902,-0.02889989898491726,0.03833385491535496
59,New Mexico,2020-01,7.5,12.0,0.6000000000000001,3,0.022142797832536268,0.019842159701104263,0.008203271278471012
61,New York,2014-01,7.25,9.7,0.3379310344827586,3,-0.005649573612767762,0.013093046420856062,0.08616026100634075
64,Ohio,2022-01,8.8,10.7,0.2159090909090908,2,0.02971065708870406,0.01009983325805322,0.051171307279943005
68,Oregon,2016-07,9.25,11.25,0.2162162162162162,2,0.05726662272267603,0.018923665561010737,0.017856672305485884
72,Rhode Island,2015-01,8.0,10.1,0.2624999999999999,3,-0.011712161392731943,-0.002293331302626697,0.004973433820850486
73,South Dakota,2015-01,7.25,8.85,0.2206896551724138,1,0.004293001256709131,0.05705134609251809,0.003940235997369895
74,South Dakota,2022-01,9.45,11.5,0.2169312169312169,2,0.0335299605755982,0.009150960294453628,0.004095910170187577
76,Vermont,2018-01,10.0,11.75,0.175,2,-0.05304511768535105,-0.019011290772937284,0.0026679544298682588
77,Virginia,2021-05,7.25,13.5,0.8620689655172413,4,0.0023646287599941654,-0.04368844478305775,0.03394821306943169
80,Washington,2017-01,9.47,13.5,0.4255543822597676,2,-0.028625038961388582,-0.041921523692524665,0.03354487729849573
82,West Virginia,2015-01,7.25,8.75,0.2068965517241379,2,-0.008457979105554975,0.031629805041325086,0.007418309354414372
