group,ages,outcome,twfe,twfe_se,twfe_school,twfe_school_se,twfe_trend,twfe_trend_se,stacked,stacked_se,n,n_events
all,1617,enr_emp,-0.024161664235825123,0.014006643464273579,-0.022198305888505944,0.015927876102048485,-0.08773449368400149,0.0374106995264033,-0.0007395800225276,0.0036846369406994,602019,73
all,1617,enr_only,0.003149183178285784,0.020492328345173814,0.01624534836373494,0.018309031918198725,0.10596826183055194,0.04434391384001086,-8.618586133026087e-05,0.0045078002830679,602019,73
all,1617,emp_only,-0.0009652742786489402,0.007782265654149061,-0.000430625920269364,0.005628485279285766,-0.019524644390014483,0.010904032698649856,0.0027846710384129,0.0021878168115474,602019,73
all,1617,neither,0.021977755336188277,0.006897634618150939,0.006383583445040319,0.00826783731966432,0.0012908762434639402,0.005283143178220157,-0.001958905154555,0.0029064789866742,602019,73
all,1617,enrolled,-0.02101248105753932,0.009508929995528825,-0.005952957524771027,0.010164704852771237,0.01823376814655054,0.00835114990072977,-0.0008257658838578,0.0032816765872402,602019,73
all,1617,employed,-0.025126938514474055,0.02038869787303226,-0.0226289318087753,0.019074545043444857,-0.10725913807401587,0.0478288159650449,0.0020450910158853,0.0045532459040766,602019,73
all,1617,log_wage,0.22651024327140962,0.023951476752693098,0.2216847285594021,0.026090526870885585,0.3502461552253968,0.028139422869203748,0.0504196034978612,0.0084425430357703,28922,73
all,1617,log_earnweek,0.23369153187181782,0.0545241202502117,0.1870523079259215,0.06168821178066572,0.1811048909885398,0.05603845850366305,0.0543970717181441,0.0253340015612992,30308,73
all,1819,enr_emp,0.0005976230820246362,0.012312352000436013,-0.0018668160978787091,0.011553056154878632,-0.02966822841117908,0.015914208514798116,0.0037990768629845,0.005183581656152,537937,73
all,1819,enr_only,-0.014001205757122864,0.015348142289322093,-0.013920860523608197,0.015313425906061407,0.14703082091248187,0.04419739177126645,-0.006067362936908,0.0059818021794072,537937,73
all,1819,emp_only,-0.004141786774005787,0.01864692092967136,-0.0013787700513269443,0.017142756060714345,-0.09164737948565778,0.03263970862273029,0.0052404094849701,0.0063355595532935,537937,73
all,1819,neither,0.017545369449104026,0.007901673590513015,0.017166446672813845,0.0064606225888867025,-0.025715213015644976,0.006978791131119131,-0.0029721234110466,0.0044949868664182,537937,73
all,1819,enrolled,-0.013403582675098238,0.0196937641534601,-0.015787676621486897,0.017282164098343454,0.11736259250130268,0.0326997551801797,-0.0022682860739234,0.0077914749663051,537937,73
all,1819,employed,-0.0035441636919811502,0.01704691144125112,-0.0032455861492056495,0.016932426144250924,-0.1213156078968368,0.045260911334476205,0.0090394863479547,0.005972339432647,537937,73
all,1819,log_wage,0.16225610434651147,0.02184483353717845,0.16647259819491525,0.02322675502081262,0.27615796936407205,0.029058408634477187,0.0318274798913324,0.0080605140562862,51761,73
all,1819,log_earnweek,0.14616341409609304,0.05288288685961681,0.16681738956548356,0.05860550509444972,0.06400458970603458,0.043939173208844794,0.0478117583613699,0.0146065541368654,55242,73
all,1619,enr_emp,-0.0129640836871865,0.00727336040594638,-0.013315027003382057,0.008418228400410139,-0.060358208205654885,0.025975026442534962,0.0016054025235935,0.0030357560225677,1139956,73
all,1619,enr_only,-0.005916171880691731,0.01647847353437182,0.0010701113212167991,0.015262456591106898,0.12509227584832674,0.04287487245285663,-0.0034507394447353,0.0038590304752337,1139956,73
all,1619,emp_only,-0.0010600177214211066,0.011644933442163396,0.0006511669802108197,0.009720272468694736,-0.0535470674859617,0.020345897286799343,0.0042979654288802,0.0034301148693731,1139956,73
all,1619,neither,0.019940273289299357,0.004530975272301911,0.01159374870195446,0.0034543771414901146,-0.011187000156710217,0.005612088853012675,-0.0024526285077383,0.0027417674383239,1139956,73
all,1619,enrolled,-0.018880255567878233,0.012697405838568255,-0.01224491568216527,0.010005777675485416,0.06473406764267196,0.018862606741436055,-0.0018453369211418,0.0042658917010047,1139956,73
