k,estimate,se
-3,-0.003418542043907353,0.004190402956612662
-2,-0.0018084130733110725,0.005600521297653669
-1,0.0,0.0
0,-0.00818570618698214,0.004468580015157561
1,0.0011171566168671717,0.0050902646964694626
2,-0.004468189646501476,0.005249447245874226
3,-0.004393353889007034,0.006549715738335998
