e,estimate,se
-10,1.633860593952862,1.1451560488758599
-9,-1.8684253852714192,1.1216628655284941
-8,0.2013258565918083,1.1219129872626472
-7,1.0434921399165025,1.1362910886052127
-6,0.4366745466258775,1.0635763436073475
-5,-0.5378342654495352,1.206489785553184
-4,1.056943703644545,1.2168020796102286
-3,-0.36873437451434865,1.0957135767452264
-2,1.0599835955747803,1.071816898785566
-1,-0.6395747283148737,1.2213496441471605
0,0.09628035573368522,1.147469649822597
1,0.7432113989610393,1.1524302611692816
2,-1.4809752704180321,1.1127996653468053
3,-1.8408588793171432,1.2442831326127854
4,-0.46198645511690795,1.4460207942441388
5,-0.9904527310932891,1.3742539909110891
6,-1.574227601706467,1.3699413326491925
7,0.7538130483630568,1.6191376211587916
8,0.7182967319015282,1.5982903596403675
9,-0.7976775981197438,1.7908040998403434
10,1.6402732626434824,1.610046109359315
