,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",0.051832200855147725,0.06520954404192217,,
"ATT(MA 2021, 2022)",0.02610917155578002,0.06732116950142357,,
"ATT(CT 2022, 2021) [pre]",0.0173981975431452,0.08956311105860684,,
"ATT(CT 2022, 2022)",-0.09662938471816085,0.09590365216672807,,
event e=-1 (pre),0.0173981975431452,0.08956311105860684,0.017398197543145477,0.011816315457555997
event e=0,-0.0040029027164032146,0.054121737863766534,-0.0018518081554377425,0.0791552337780502
event e=1,0.02610917155578002,0.06732116950142357,0.02610917155578013,0.014795229638885242
group MA,0.03897068620546387,0.05664585924434924,0.03897068620546404,0.01335778488186194
group CT,-0.09662938471816085,0.09590365216672807,-0.0966293847181614,0.011101438979492579
simple ATT,0.007566211979576168,0.048755050286587595,0.009043122874897926,0.03747495490819833
