,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",2.5133020835222766,2.1112953257272693,,
"ATT(MA 2021, 2022)",2.103213234036666,2.3067928447064134,,
"ATT(CT 2022, 2021) [pre]",-3.5392234114577974,3.5413081601037653,,
"ATT(CT 2022, 2022)",1.1062950158207592,3.120879305667808,,
event e=-1 (pre),-3.5392234114577974,3.5413081601037653,-3.5392234114578116,0.3744096461132706
event e=0,1.9841390340529834,1.707611022829394,2.004525487820704,0.542286711466389
event e=1,2.103213234036666,2.3067928447064134,2.1032132340366765,0.45496354220936874
group MA,2.308257658779471,1.8788951182132823,2.3082576587794783,0.3645596551487942
group CT,1.1062950158207592,3.120879305667808,1.106295015820752,0.4135678655430006
simple ATT,2.0298875621846295,1.5983560904822405,2.0429789397264297,0.44989034274792933
