,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",0.2596727681773281,1.6041803762918183,,
"ATT(MA 2021, 2022)",1.0978181812332863,1.5794600946147521,,
"ATT(CT 2022, 2021) [pre]",-2.243868015536659,2.6366995428006033,,
"ATT(CT 2022, 2022)",1.1473806973847367,2.554831600971278,,
event e=-1 (pre),-2.243868015536659,2.6366995428006033,-2.243868015536655,0.31369930926898404
event e=0,0.5815968518322592,1.4130232152795779,0.5900214487076119,0.36601476402676464
event e=1,1.0978181812332863,1.5794600946147521,1.0978181812333005,0.27871402833468073
group MA,0.6787454747053072,1.3469541417619042,0.6787454747053197,0.24003301956276318
group CT,1.1473806973847367,2.554831600971278,1.1473806973847367,0.31740360863186723
simple ATT,0.7825403273830408,1.200626400241086,0.7858775373744002,0.2363853256762631
