cohort,estimate,se,states
2014,0.43263922176345254,0.24856398760185225,44
2018,-0.04042550831474027,0.20585183213911334,36
2020,0.03426992690535151,0.38238054138102445,53
2021,-0.4850034111091564,0.36253402450700944,"11, 25"
2022,0.5707715770956068,0.41544573062970325,9
2024,-0.8348117882614221,0.44195665843377896,"41, 8"
