,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",0.06250463549865304,0.050992481520943635,,
"ATT(MA 2021, 2022)",0.07562369234179367,0.04821887157992105,,
"ATT(CT 2022, 2021) [pre]",0.017344851459995203,0.08163793605752746,,
"ATT(CT 2022, 2022)",-0.0216206317895854,0.0776610607592105,,
event e=-1 (pre),0.017344851459995203,0.08163793605752746,0.017344851459995092,0.008483531847487858
event e=0,0.030865858411068953,0.043529188480958436,0.032084769041752566,0.016989314286944588
event e=1,0.07562369234179367,0.04821887157992105,0.07562369234179389,0.01096259210242256
group MA,0.06906416392022335,0.042909767234625064,0.06906416392022335,0.00844358684867632
group CT,-0.0216206317895854,0.0776610607592105,-0.021620631789585953,0.008770350152168782
simple ATT,0.04806190108842413,0.037156712198560184,0.04904960973718483,0.026936287749370395
