,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",-0.04238838414063484,0.02554679436129189,,
"ATT(MA 2021, 2022)",-0.025250786990116736,0.02494231099274872,,
"ATT(CT 2022, 2021) [pre]",-0.05456271256211365,0.03958322957283946,,
"ATT(CT 2022, 2022)",0.009297963065111103,0.041736597477903516,,
event e=-1 (pre),-0.05456271256211365,0.03958322957283946,-0.054562712562113425,0.006820781033176136
event e=0,-0.025873277063518677,0.02108754207797664,-0.0254688650218481,0.009134672501266098
event e=1,-0.025250786990116736,0.02494231099274872,-0.025250786990116847,0.004856006550695767
group MA,-0.03381958556537579,0.022039113868832946,-0.03381958556537573,0.004483580505679163
group CT,0.009297963065111103,0.041736597477903516,0.009297963065111547,0.006193945014031214
simple ATT,-0.025621212177522897,0.019015631970391036,-0.025381165739397537,0.009638377586351358
