cohort,estimate,se,states
2014,-0.031238490548192967,0.05844111590589767,44
2018,-0.001001340187898932,0.05275124176665578,36
2020,-0.02059639207904982,0.07305005074383342,53
2021,-0.2186274691027655,0.13174629833047563,"11, 25"
2022,0.039506678836082186,0.04215350890610298,9
2024,-0.15581674022564193,0.17933005727272364,"41, 8"
