sample,outcome,pre mean,ATT,se,n,pre e=-3..-1,post e=0..3
mothers_infant,absent,0.08385824279739015,0.023288446093842393,0.017478556885960766,72897,0.004249985376099885,0.01719879350014557
mothers_infant,atwork,0.4028156307729989,-0.007579033838167868,0.035307503546484265,72897,0.011398786178185833,-0.021016406708004715
mothers_infant,employed,0.48667387357038905,0.015709412255674536,0.035330235594833094,72897,0.015648771554285745,-0.003817613207859144
mothers_infant,inlf,0.5240401727966519,0.0115551819810325,0.03566239522956711,72897,0.01636388114184452,-0.0016691657186221568
mothers_infant,absent_if_emp,0.17230890613087635,0.03169963973706753,0.03604826336122188,38463,0.002391079608951935,0.031593297388035534
fathers_infant,absent,0.025681171674589765,-0.011432670253708602,0.017056161792740852,61637,0.008045978173328543,-0.01563407509945337
fathers_infant,atwork,0.8462922639076236,0.03124323664144231,0.027449447391124503,61637,-0.007874674467054256,0.004771055577031284
fathers_infant,employed,0.8719734355822134,0.01981056638773364,0.024454921469836993,61637,0.00017130370627430348,-0.010863019522422156
fathers_infant,inlf,0.924313151671511,0.03440891322198137,0.022584123520109127,61637,-0.0010533589020965256,0.013960416297338372
fathers_infant,absent_if_emp,0.02945178216059133,-0.014303862454462945,0.018436618124531862,54206,0.008579836893138753,-0.01649577806648651
mothers_age1,absent,0.01970900393826887,-0.012405533652553834,0.00934044901181115,78450,0.00839818370036561,-0.016937695028375548
mothers_age1,atwork,0.5050930391636961,0.015315056892004696,0.030186953404694693,78450,0.007349012467854077,0.005545115078916576
mothers_age1,employed,0.524802043101965,0.002909523239450814,0.030301416853421286,78450,0.015747196168219676,-0.011392579949459004
mothers_age1,inlf,0.5721536628205571,0.009114932260851194,0.030272577529022245,78450,0.009898948695656482,-0.0068364369071295394
mothers_age1,absent_if_emp,0.03755512044460461,-0.020976263350312406,0.01582963385839479,45023,0.013528763565366914,-0.02914277600324404
mothers_age2,absent,0.021266666967535694,-0.0034845965047104487,0.008476376832506656,67889,-0.00247636600233826,0.003418361291715439
mothers_age2,atwork,0.5380157938876401,0.04664799477962435,0.03162397455147305,67889,-0.0034630731171507076,0.016553436791086666
mothers_age2,employed,0.5592824608551757,0.04316339827491397,0.031372413284020524,67889,-0.005939439119488964,0.019971798082802188
mothers_age2,inlf,0.6023844746566307,0.050018946578049076,0.032607777570957695,67889,-0.006570241110235656,0.021862707425932694
mothers_age2,absent_if_emp,0.038024913091352294,-0.007198365981772844,0.015943574947952753,41228,-0.004917424935231384,0.008097675835465949
childless_w,absent,0.021417121401094114,0.002997199869891907,0.0032482526014880235,486039,-0.0018419741752121385,0.005111247057860142
childless_w,employed,0.7123882952960677,0.006865516408987156,0.010233159330184786,486039,-0.0038578523295317406,0.024007933905199133
