,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",-1.657853040197665,1.1176261047918743,,
"ATT(MA 2021, 2022)",-0.547249880247076,1.1830676078753064,,
"ATT(CT 2022, 2021) [pre]",-4.971447813001372,1.8226634179720018,,
"ATT(CT 2022, 2022)",2.175942423057119,1.8242027151614897,,
event e=-1 (pre),-4.971447813001372,1.8226634179720018,-4.971447813001362,0.22201022140287077
event e=0,-0.4328575431203214,0.9446297007676351,-0.4028605877450451,1.2509025824697209
event e=1,-0.547249880247076,1.1830676078753064,-0.5472498802470761,0.21070218161838217
group MA,-1.1025514602223705,0.9871376005117285,-1.1025514602223634,0.191364213693896
group CT,2.175942423057119,1.8242027151614897,2.17594242305713,0.19931073241242012
simple ATT,-0.47917842862306603,0.8606446652172498,-0.4609262133628398,0.7608271846736216
