cohort,estimate,se,states
2004,0.0033311510251588703,0.0077378668325513945,6
2009,-0.017492515130840387,0.016239986385096324,34
2014,-0.00020490141821858705,0.018357401118815238,44
2018,-0.009435533706461897,0.01227080479496664,36
2020,-0.015185936739512957,0.01687514823224783,"11, 53"
2021,0.011910237613537862,0.01338864161726703,25
2022,-0.017537281735931855,0.035201392333840925,9
2023,-0.015943396393605966,0.025405000539441475,41
2024,-0.03297456244629879,0.035734766821398,8
