,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",-0.09170747537507945,0.04299947142475323,,
"ATT(MA 2021, 2022)",-0.02087804482593153,0.041344587435724584,,
"ATT(CT 2022, 2021) [pre]",-0.14952350388149788,0.06580164119335631,,
"ATT(CT 2022, 2022)",0.08027745035266193,0.07061279729185062,,
event e=-1 (pre),-0.14952350388149788,0.06580164119335631,-0.14952350388149793,0.0072756483810008194
event e=0,-0.04178534776438316,0.03707859194447114,-0.040446822448978556,0.09452880126587358
event e=1,-0.02087804482593153,0.041344587435724584,-0.020878044825931866,0.00894608121279003
group MA,-0.05629276010050549,0.03632369473651115,-0.05629276010050582,0.006890772641382419
group CT,0.08027745035266193,0.07061279729185062,0.08027745035266182,0.008531050029624803
simple ATT,-0.0331064712052325,0.03264944513950869,-0.03237592320826957,0.028545027481016276
