cohort,estimate,se,states
2014,0.005039001516680493,0.0527802220396458,44
2018,-0.02101813422691718,0.06685601044573307,36
2020,0.017684623732834637,0.027212003132391496,53
2021,-0.31730940490525383,0.23092510050531745,"11, 25"
2024,0.05946657450659327,0.06683142850010455,"41, 8"
