cohort,estimate,se,states
2004,0.3256943978301984,1.0033448423461124,6
2009,-3.5921008199153133,2.1209730750892453,34
2014,1.4671482587956115,3.4979342388614247,44
2018,2.3063775584129464,1.8985104288437256,36
2020,-0.5110679004258323,3.173662330953377,"11, 53"
2021,1.671728594693989,3.3210579992286764,25
2022,-6.670145982507343,4.977627334478029,9
2023,0.16614802416354735,4.844777125033007,41
2024,-4.498529128450052,7.3995357012417475,8
