,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",-0.021848762132651744,0.04581448340007992,,
"ATT(MA 2021, 2022)",0.022882025840804232,0.04878428313938383,,
"ATT(CT 2022, 2021) [pre]",0.02353541233937173,0.06624341108136728,,
"ATT(CT 2022, 2022)",-0.06156612688053814,0.06956770210345974,,
event e=-1 (pre),0.02353541233937173,0.06624341108136728,0.023535412339371956,0.007042309550879863
event e=0,-0.03625212142568855,0.03755341557854054,-0.036629050341092935,0.014142067894547044
event e=1,0.022882025840804232,0.04878428313938383,0.02288202584080412,0.010240202575165589
group MA,0.0005166318540762438,0.04086927647146858,0.0005166318540762438,0.007624801546360891
group CT,-0.06156612688053814,0.06956770210345974,-0.06156612688053831,0.008350314531028923
simple ATT,-0.013233659384904131,0.03488517047185104,-0.013675758469038627,0.018880475597491543
