,estimate,se (block bootstrap),csdid port estimate,csdid port se
"ATT(MA 2021, 2021)",-0.06357763395983379,0.032758630300588835,,
"ATT(MA 2021, 2022)",-0.00218677756777208,0.03341022002629258,,
"ATT(CT 2022, 2021) [pre]",-0.06980305575428086,0.04640159111242053,,
"ATT(CT 2022, 2022)",0.01479921200147638,0.05009365602538934,,
event e=-1 (pre),-0.06980305575428086,0.04640159111242053,-0.06980305575428075,0.005213925116704557
event e=0,-0.03853423133234497,0.027187924889371815,-0.037920983501757696,0.04196202005802799
event e=1,-0.00218677756777208,0.03341022002629258,-0.0021867775677718564,0.006197168382342453
group MA,-0.032882205763802935,0.028288796796481382,-0.03288220576380271,0.005305428816003444
group CT,0.01479921200147638,0.05009365602538934,0.01479921200147677,0.004940680147027758
simple ATT,-0.023816058013799275,0.02461160957955278,-0.023550603347129422,0.01162541980416181
