cohort,estimate,se,states
2014,-0.06756964882361162,0.13157092397949285,44
2018,0.0803527880204736,0.08684670303898485,36
2020,-0.022784602613959953,0.042829096100335154,53
2021,-0.10091396215091017,0.11182039378309251,"11, 25"
2022,0.006782745848725079,0.10007510015929218,9
2024,0.3497335071306386,0.2830755013776022,"41, 8"
